"Schluesselzahl","Straftat","Kreisschluessel","Kreisart","Kreis","Einwohner","Erfasste_Faelle","Straftaten_HZ","Versuche_Anzahl","Versuche_Anteil_Prozent","Mit_Schusswaffe_gedroht","Mit_Schusswaffe_geschossen","Aufklaerung_Faelle","Aufklaerungsquote","Tatverdaechtige_Insgesamt","Tatverdaechtige_Maennlich","Tatverdaechtige_Weiblich","Nichtdeutsche_Tatverdaechtige_Anzahl","Nichtdeutsche_Tatverdaechtige_Prozent"
"****00","Diebstahl insgesamt und zwar:","01001","KfS","Flensburg",,3455,3903.11684497114,444,12.9,0,0,1451,42,1017,706,311,365,35.9
"****00","Diebstahl insgesamt und zwar:","01002","KfS","Kiel",,12013,4845.06519643628,1231,10.2,0,0,3737,31.1,2168,1537,631,696,32.1
"****00","Diebstahl insgesamt und zwar:","01003","KfS","Lübeck",,9289,4294.14103310866,1035,11.1,0,0,3269,35.2,1876,1310,566,595,31.7
"****00","Diebstahl insgesamt und zwar:","01004","KfS","Neumünster",,4215,5312.91359425222,566,13.4,0,0,1617,38.4,1240,910,330,689,55.6
"****00","Diebstahl insgesamt und zwar:","01051","K","Dithmarschen",,2679,2007.5385733662,213,8,0,0,920,34.3,720,509,211,193,26.8
"****00","Diebstahl insgesamt und zwar:","01053","K","Herzogtum Lauenburg",,3677,1875.31238205983,590,16,0,0,963,26.2,803,557,246,278,34.6
"****00","Diebstahl insgesamt und zwar:","01054","K","Nordfriesland",,3451,2085.67526078495,342,9.9,0,0,952,27.6,688,508,180,189,27.5
"****00","Diebstahl insgesamt und zwar:","01055","K","Ostholstein",,4300,2143.74027838711,497,11.6,0,0,1037,24.1,873,628,245,226,25.9
"****00","Diebstahl insgesamt und zwar:","01056","K","Pinneberg",,7204,2304.08556204464,921,12.8,0,0,1441,20,1283,927,356,526,41
"****00","Diebstahl insgesamt und zwar:","01057","K","Plön",,2153,1671.03894692724,278,12.9,0,0,601,27.9,479,336,143,124,25.9
"****00","Diebstahl insgesamt und zwar:","01058","K","Rendsburg-Eckernförde",,4925,1803.88393609306,644,13.1,0,0,1284,26.1,1102,817,285,294,26.7
"****00","Diebstahl insgesamt und zwar:","01059","K","Schleswig-Flensburg",,2720,1363.38801922778,359,13.2,0,0,863,31.7,793,602,191,190,24
"****00","Diebstahl insgesamt und zwar:","01060","K","Segeberg",,6041,2204.54338107837,946,15.7,0,0,1581,26.2,1426,1030,396,649,45.5
"****00","Diebstahl insgesamt und zwar:","01061","K","Steinburg",,2473,1878.99371642619,266,10.8,0,0,736,29.8,588,413,175,174,29.6
"****00","Diebstahl insgesamt und zwar:","01062","K","Stormarn",,5238,2160.24943086212,806,15.4,0,0,1064,20.3,894,655,239,360,40.3
"****00","Diebstahl insgesamt und zwar:","02000","KfS","Hamburg",,96717,5283.39589988769,9342,9.7,0,0,20421,21.1,14886,10699,4187,7835,52.6
"****00","Diebstahl insgesamt und zwar:","03101","KfS","Braunschweig",,7276,2933.59890010201,811,11.1,0,0,2667,36.7,1971,1400,571,747,37.9
"****00","Diebstahl insgesamt und zwar:","03102","KfS","Salzgitter",,2108,2016.29873359605,348,16.5,0,0,868,41.2,730,507,223,276,37.8
"****00","Diebstahl insgesamt und zwar:","03103","KfS","Wolfsburg",,3933,3173.9754991365,522,13.3,0,0,1341,34.1,942,697,245,389,41.3
"****00","Diebstahl insgesamt und zwar:","03151","LK","Gifhorn",,2244,1281.70711507377,296,13.2,0,0,755,33.6,694,524,170,186,26.8
"****00","Diebstahl insgesamt und zwar:","03153","LK","Goslar",,2385,1733.75108132274,348,14.6,0,0,884,37.1,699,511,188,189,27
"****00","Diebstahl insgesamt und zwar:","03154","LK","Helmstedt",,1839,2005.01526384649,392,21.3,0,0,657,35.7,502,352,150,150,29.9
"****00","Diebstahl insgesamt und zwar:","03155","LK","Northeim",,1790,1345.39933556815,242,13.5,0,0,724,40.4,611,446,165,153,25
"****00","Diebstahl insgesamt und zwar:","03157","LK","Peine",,2171,1627.82676504109,358,16.5,0,0,703,32.4,537,404,133,187,34.8
"****00","Diebstahl insgesamt und zwar:","03158","LK","Wolfenbüttel",,1634,1356.72592309672,348,21.3,0,0,507,31,488,354,134,135,27.7
"****00","Diebstahl insgesamt und zwar:","03159","LK","Göttingen",,7194,2193.05198209953,688,9.6,0,0,2336,32.5,1845,1286,559,637,34.5
"****00","Diebstahl insgesamt und zwar:","03241","LK","Region Hannover",,37333,3238.81406294055,4354,11.7,0,0,12467,33.4,8666,6218,2448,3889,44.9
"****00","Diebstahl insgesamt und zwar:","03251","LK","Diepholz",,3568,1651.76008740255,472,13.2,0,0,1261,35.3,1108,865,243,474,42.8
"****00","Diebstahl insgesamt und zwar:","03252","LK","Hameln-Pyrmont",,2420,1631.87139235043,240,9.9,0,0,987,40.8,839,583,256,260,31
"****00","Diebstahl insgesamt und zwar:","03254","LK","Hildesheim",,5152,1862.34817813765,699,13.6,0,0,1705,33.1,1399,996,403,457,32.7
"****00","Diebstahl insgesamt und zwar:","03255","LK","Holzminden",,973,1367.64871247048,127,13.1,0,0,436,44.8,386,298,88,96,24.9
"****00","Diebstahl insgesamt und zwar:","03256","LK","Nienburg (Weser)",,2670,2198.07359841936,302,11.3,0,0,796,29.8,625,460,165,188,30.1
"****00","Diebstahl insgesamt und zwar:","03257","LK","Schaumburg",,2527,1600.55230772154,344,13.6,0,0,814,32.2,706,562,144,255,36.1
"****00","Diebstahl insgesamt und zwar:","03351","LK","Celle",,3444,1926.56239511311,419,12.2,0,0,1368,39.7,1091,758,333,363,33.3
"****00","Diebstahl insgesamt und zwar:","03352","LK","Cuxhaven",,3410,1721.3528520949,444,13,0,0,1023,30,882,676,206,238,27
"****00","Diebstahl insgesamt und zwar:","03353","LK","Harburg",,4907,1951.00810700128,610,12.4,0,0,1335,27.2,1152,944,208,502,43.6
"****00","Diebstahl insgesamt und zwar:","03354","LK","Lüchow-Dannenberg",,663,1371.05279483839,80,12.1,0,0,280,42.2,221,163,58,32,14.5
"****00","Diebstahl insgesamt und zwar:","03355","LK","Lüneburg",,4865,2659.48723555458,544,11.2,0,0,1847,38,1148,838,310,305,26.6
"****00","Diebstahl insgesamt und zwar:","03356","LK","Osterholz",,1870,1653.3309756421,267,14.3,0,0,572,30.6,540,413,127,175,32.4
"****00","Diebstahl insgesamt und zwar:","03357","LK","Rotenburg (Wümme)",,2880,1762.79402853523,314,10.9,0,0,833,28.9,703,559,144,227,32.3
"****00","Diebstahl insgesamt und zwar:","03358","LK","Landkreis Heidekreis",,3001,2157.45620026025,404,13.5,0,0,1175,39.2,1087,813,274,452,41.6
"****00","Diebstahl insgesamt und zwar:","03359","LK","Stade",,3411,1689.55901073373,349,10.2,0,0,1226,35.9,922,697,225,359,38.9
"****00","Diebstahl insgesamt und zwar:","03360","LK","Uelzen",,1956,2109.03131199862,195,10,0,0,764,39.1,546,410,136,144,26.4
"****00","Diebstahl insgesamt und zwar:","03361","LK","Verden",,2496,1827.36657149132,368,14.7,0,0,914,36.6,836,582,254,270,32.3
"****00","Diebstahl insgesamt und zwar:","03401","KfS","Delmenhorst",,2145,2766.99216986365,235,11,0,0,757,35.3,645,458,187,282,43.7
"****00","Diebstahl insgesamt und zwar:","03402","KfS","Emden",,1652,3264.37054162468,182,11,0,0,450,27.2,370,266,104,108,29.2
"****00","Diebstahl insgesamt und zwar:","03403","KfS","Oldenburg (Oldenburg)",,5465,3270.86862060917,459,8.4,0,0,1912,35,1304,931,373,408,31.3
"****00","Diebstahl insgesamt und zwar:","03404","KfS","Osnabrück",,6833,4156.98346453819,500,7.3,0,0,2517,36.8,1756,1288,468,744,42.4
"****00","Diebstahl insgesamt und zwar:","03405","KfS","Wilhelmshaven",,2935,3845.85145972011,388,13.2,0,0,1135,38.7,886,649,237,195,22
"****00","Diebstahl insgesamt und zwar:","03451","LK","Ammerland",,1522,1233.61728685249,149,9.8,0,0,420,27.6,389,290,99,89,22.9
"****00","Diebstahl insgesamt und zwar:","03452","LK","Aurich",,3039,1599.9031318933,297,9.8,0,0,1132,37.2,922,652,270,198,21.5
"****00","Diebstahl insgesamt und zwar:","03453","LK","Cloppenburg",,2203,1311.89519130564,184,8.4,0,0,808,36.7,677,499,178,269,39.7
"****00","Diebstahl insgesamt und zwar:","03454","LK","Emsland",,6259,1933.96284714927,619,9.9,0,0,2051,32.8,1659,1296,363,686,41.4
"****00","Diebstahl insgesamt und zwar:","03455","LK","Friesland",,1592,1616.09599122923,216,13.6,0,0,531,33.4,451,330,121,79,17.5
"****00","Diebstahl insgesamt und zwar:","03456","LK","Grafschaft Bentheim",,2397,1764.32919423814,214,8.9,0,0,782,32.6,584,438,146,234,40.1
"****00","Diebstahl insgesamt und zwar:","03457","LK","Leer",,2752,1628.92285108851,261,9.5,0,0,969,35.2,795,556,239,210,26.4
"****00","Diebstahl insgesamt und zwar:","03458","LK","Oldenburg",,1950,1500.87743603953,244,12.5,0,0,614,31.5,513,399,114,204,39.8
"****00","Diebstahl insgesamt und zwar:","03459","LK","Osnabrück",,5538,1555.00645813444,699,12.6,0,0,2175,39.3,1567,1165,402,633,40.4
"****00","Diebstahl insgesamt und zwar:","03460","LK","Vechta",,2347,1669.98719225843,201,8.6,0,0,681,29,551,420,131,254,46.1
"****00","Diebstahl insgesamt und zwar:","03461","LK","Wesermarsch",,1140,1280.58232796387,154,13.5,0,0,380,33.3,378,292,86,97,25.7
"****00","Diebstahl insgesamt und zwar:","03462","LK","Wittmund",,796,1403.11293648975,90,11.3,0,0,321,40.3,255,197,58,40,15.7
"****00","Diebstahl insgesamt und zwar:","04011","KfS","Bremen",,27268,4800.65351422344,3104,11.4,0,0,6201,22.7,4173,2987,1186,2040,48.9
"****00","Diebstahl insgesamt und zwar:","04012","KfS","Bremerhaven",,5291,4681.22378921664,601,11.4,0,0,1555,29.4,1120,833,287,414,37
"****00","Diebstahl insgesamt und zwar:","05111","KfS","Düsseldorf",,27495,4454.21850699844,2397,8.7,0,0,5668,20.6,4799,3175,1624,2314,48.2
"****00","Diebstahl insgesamt und zwar:","05112","KfS","Duisburg",,17813,3576.1177250005,2393,13.4,0,0,4707,26.4,3917,2631,1286,1899,48.5
"****00","Diebstahl insgesamt und zwar:","05113","KfS","Essen",,18134,3108.36777266782,2017,11.1,0,0,5022,27.7,4258,2926,1332,2048,48.1
"****00","Diebstahl insgesamt und zwar:","05114","KfS","Krefeld",,8717,3845.18678953149,890,10.2,0,0,2624,30.1,2020,1359,661,812,40.2
"****00","Diebstahl insgesamt und zwar:","05116","KfS","Mönchengladbach",,8814,3361.70991807405,955,10.8,0,0,3020,34.3,2208,1549,659,906,41
"****00","Diebstahl insgesamt und zwar:","05117","KfS","Mülheim an der Ruhr",,3769,2200.68315184071,563,14.9,0,0,892,23.7,845,557,288,335,39.6
"****00","Diebstahl insgesamt und zwar:","05119","KfS","Oberhausen",,5870,2776.43764603494,675,11.5,0,0,1920,32.7,1622,1072,550,679,41.9
"****00","Diebstahl insgesamt und zwar:","05120","KfS","Remscheid",,2128,1924.32901685596,291,13.7,0,0,836,39.3,711,440,271,257,36.1
"****00","Diebstahl insgesamt und zwar:","05122","KfS","Solingen",,3853,2426.27658167667,684,17.8,0,0,947,24.6,795,563,232,306,38.5
"****00","Diebstahl insgesamt und zwar:","05124","KfS","Wuppertal",,11396,3222.94182527786,1556,13.7,0,0,3204,28.1,2542,1727,815,1091,42.9
"****00","Diebstahl insgesamt und zwar:","05154","K","Kleve",,7911,2541.52343624506,906,11.5,0,0,2115,26.7,1688,1253,435,771,45.7
